CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
BVH,2017,2,852954938655.0,36742183736.0,2213853936622.0,5850638128.0,0.0,-1538037317920.0,176418236944.0,0.0,1747782616165.0,-278936531934.0,11411865485.0,190140046043.0,-57330438506.0,-180546260600.0,-28340102356.0,0.0,-54256121119.0,1446933184456,-143433450370,693406546,-14252736227526,9415978952678,225869206365,67608566004,1798854730450,-2887164815853,0,0,12193844618762,-7697520959677,0,0,0.0,4496323659085,3056092027688,1462002348562,4610056960,4522704433210
BVH,2017,1,486332087791.0,47925031232.0,2407811869286.0,-3785116153.0,0.0,-1397551834101.0,148508434458.0,0.0,1689240472513.0,57821664769.0,-25020071555.0,-258505817256.0,-332639657644.0,-134622838946.0,-39128738045.0,0.0,-27143572241.0,1403877897526,-34939067913,34754545,-9494768717600,6170067746555,-225869206365,0,1186520600489,-2398953890289,0,0,7207269915747,-7630760250367,0,0,0.0,-423490334620,-1418566327383,2883458103350,-2889427405,1462002348562
BVH,2016,4,361708922206.0,44618675307.0,2121101183999.0,4925439612.0,0.0,-1360270111746.0,131841740606.0,0.0,1303925849984.0,-406385034907.0,-39266461899.0,603398044187.0,-145139717910.0,-96952331094.0,-114543816029.0,0.0,-18552115392.0,627352148550,-21808230178,593108834,-13182128510086,9266246235393,-255702464372,0,1220838574307,-2971961286102,0,0,9842796496712,-7208514884814,0,0,0.0,2634281611898,289672474346,2590516728952,-1973726981,2878215476317
BVH,2016,3,361676250378.0,33433717046.0,2360652563715.0,5619957977.0,0.0,-1372591181833.0,125109720526.0,0.0,1513901027809.0,-132592847205.0,7034392161.0,136830969854.0,-6641360137.0,-230822846287.0,-76581771457.0,0.0,-32833806347.0,1203812475701,3578679657,78116996,-9510531721728,6509280659799,411069707400,0,714089292258,-1872435265618,0,0,4341189893389,-3107091707998,0,-544265229840,0.0,689832955551,21210165634,2571244347124,-1937783806,2590516728952
BVH,2016,2,476885585780.0,31771095841.0,1849536282145.0,-16392902466.0,0.0,-1064717735866.0,108434081263.0,0.0,1385516406697.0,-225553654224.0,8736092140.0,64581214385.0,39654421766.0,-215506956516.0,-80672956557.0,0.0,-44025431867.0,466527871576,3388389238,-322208153,-13658353760058,11369655017179,-171867700000,18000000000,1478653879932,-960846381862,0,0,9052157280255,-9957948644389,0,0,0.0,-905791364134,-1400109874420,4120800963219,-1014441675,2719676647124
BVH,2016,1,480154707154.0,34205156345.0,1841586973120.0,11855660772.0,0.0,-1031924173403.0,104934827916.0,0.0,1440813151904.0,-380395593226.0,6725746003.0,-144592362475.0,-69601237859.0,-62276418835.0,-69013450260.0,0.0,-27579993566.0,619020534193,-33321669040,1052548220,-6941361098967,5731221148977,-528677712900,0,1004625849331,-766460934379,0,0,4544885298347,-2535193840001,0,0,0.0,2009691458346,1862251058160,2256691436043,1858469016,4120800963219
BVH,2015,4,251883815146.0,39244015337.0,1448627805416.0,-1825145260.0,0.0,-948307771795.0,77167305951.0,0.0,866790024795.0,238572138747.0,-43740158655.0,202525083628.0,-12292211030.0,-50769492130.0,-67790598362.0,0.0,-33831922591.0,1187802529356,62868523338,-91445726473,-8544227719275,1796031235896,-30766146723,0,1056069056488,-5751470776749,0,0,7090037359674,-3743288794957,0,-100000000,0.0,3346648564717,-1217019682676,3468892640637,99613408,2251972571369
BVH,2015,3,292837181896.0,42573579091.0,1855236750245.0,489311516.0,0.0,-1264974309527.0,55164560258.0,0.0,981327073479.0,98782351140.0,-34013140668.0,-1007622316508.0,-42895693878.0,-115661269994.0,-57968822545.0,-44426809914.0,13434747290.0,-200971294837,-149644402084,91938887539,4498724767447,-5460776607360,0,0,1924964614511,905207260053,0,0,3648357724942,-3061536133931,0,0,0.0,586821591011,1291057556227,2176889607604,945476806,3468892640637
BVH,2015,2,452773142819.0,43183149823.0,1219496818589.0,987960629.0,0.0,-636850002649.0,54454121203.0,0.0,1134045190414.0,-204364841695.0,881627332.0,1340273522971.0,25377503751.0,-405029129.0,-72064096891.0,29046001415.0,-380732401419.0,1864624186739,-13459413944,333309090,-3971138899801,2844350429087,0,0,107200271707,-1032714303861,0,0,5391105285692,-5143862630377,0,-679981899550,0.0,-432739244235,399170638643,1777546666101,172302860,2176889607604
BVH,2015,1,457243867706.0,33336182138.0,1410789065956.0,-4434156961.0,,-732068374839.0,36729016934.0,,1201595600934.0,-48780143629.0,-15744003248.0,-284353852159.0,19985461577.0,-159829092.0,-77068718279.0,38767902935.0,275053164701.0,1109295583740,-5822026791,215904546,-5526130412983,4355294304026,0,0,88196475514,-1088245755688,0,0,757283906359,-425047956795,0,-1200000000,,331035949564,352085777616,1424818218079,642670406,1777546666101
BVH,2014,4,,,,,,,,,,,,,,,,,,4523847195052,-28191733331,1940453696,-6049213344183,4446393071324,8247930985920,-8376535468928,222054088700,-1535621946802,0,0,-3932571191020,-177636481532,0,747216600,,-4109460455952,-1121235207702,2539694786913,246985860,1418706565071
BVH,2014,3,,,,,,,,,,,,,,,,,,2254663318553,19650305893,351010908,-5439219038896,1811196961760,-7848381118985,113136223791,289275614548,-11053990040981,21932407645,-4173306528875,4319433909405,-197438477547,0,-667742988600,,-697121677972,-9496448400400,12036685280520,-542093207,2539694786913
BVH,2014,2,,,,,,,,,,,,,,,,,,-444081951210,-81637167498,677877270,-2597072565098,2068041270577,-285482989850,574935113128,-22832932357,-343371393828,-21932407645,4148935271742,-63638584669,0,0,-352964162400,,3710400117028,2922946771990,9114905410033,-1166901503,12036685280520
BVH,2014,1,,,,,,,,,,,,,,,,,,-85630839021,-19617204105,2100000,-4226876006043,5806167452418,-188304778600,332149512664,139355817412,1842876893746,0,-14642138726,185955491590,-133440715264,0,0,,37872637600,1795118692325,7318047598296,1739119412,9114905410033
BVH,2013,4,,,,,,,,,,,,,,,,,,299580988807,-43290345906,523827731,-6302614234632,7301816792735,823219402050,-228864700359,388690773241,1939481514860,0,-11949331604,0,0,0,-42041266425,,-53990598029,2185071905638,5275749819136,-761960830,7460059763944
BVH,2013,3,,,,,,,,,,,,,,,,,,1460017236391,-13507009579,286250173,-1827398104760,2918582195112,-315624442220,136153440468,41564686106,940057015300,0,-3541661350,0,-24650225393,0,-1020846370350,,-1049038257093,1351035994598,3924543071742,170752796,5275749819136
BVH,2013,2,,,,,,,,,,,,,,,,,,568911593759,-18086730829,663785153,451359777351,-788997133764,-87649769234,-337361662669,-53675096949,-833746830941,-5630712910,0,4650225393,0,0,0,,-980487517,-265815724699,4188893417172,1465379269,3924543071742
BVH,2013,1,,,,,,,,,,,,,,,,,,-137066007304,-14257532353,200711074,-3772205272735,4039802619330,-484945190596,430072922560,69852967624,268521224904,0,-14642138726,50000000000,-54650225393,0,0,,-19292364119,112162853481,4077977824233,-1247260542,4188893417172
